"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","97","7","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","97","8","99.0"
"服装",""名詞","一般","*","*","*","*","服装","フクソウ","フクソー"","2","97","9","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","97","10","99.0"
"こと",""名詞","非自立","一般","*","*","*","こと","コト","コト"","2","97","11","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","97","12","99.0"
"前",""名詞","副詞可能","*","*","*","*","前","マエ","マエ"","1","97","13","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","97","14","99.0"
"ハル",""名詞","固有名詞","人名","名","*","*","ハル","ハル","ハル"","2","97","15","99.0"
"ちゃん",""名詞","接尾","人名","*","*","*","ちゃん","チャン","チャン"","3","97","16","99.0"
"つぶやい",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","つぶやく","ツブヤイ","ツブヤイ"","4","97","17","99.0"
"て",""動詞","非自立","*","*","一段","連用形","てる","テ","テ"","1","97","18","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","97","19","99.0"
"もん",""名詞","非自立","一般","*","*","*","もん","モン","モン"","2","97","20","99.0"
"ね",""動詞","自立","*","*","一段","連用形","ねる","ネ","ネ"","1","97","21","99.0"
"＾＾","名詞","未知語","*","*","*","*","＾＾","*","*","2","97","22","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","97","23","99.0"
"餃子",""名詞","一般","*","*","*","*","餃子","ギョウザ","ギョーザ"","2","97","24","99.0"
"餃子",""名詞","一般","*","*","*","*","餃子","ギョウザ","ギョーザ"","2","97","25","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","97","26","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","97","27","99.0"
"わたし",""名詞","代名詞","一般","*","*","*","わたし","ワタシ","ワタシ"","3","97","28","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","97","29","99.0"
"平日",""名詞","副詞可能","*","*","*","*","平日","ヘイジツ","ヘイジツ"","2","97","30","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","97","31","99.0"
"と",""助詞","格助詞","引用","*","*","*","と","ト","ト"","1","97","32","99.0"
"仕事",""名詞","サ変接続","*","*","*","*","仕事","シゴト","シゴト"","2","97","33","99.0"
"終わっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","終わる","オワッ","オワッ"","3","97","34","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","97","35","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","97","36","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","97","37","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","97","38","99.0"
"ちゃう",""動詞","自立","*","*","五段・ワ行促音便","基本形","ちゃう","チャウ","チャウ"","3","97","39","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","97","40","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","97","41","99.0"
"、",""名詞","数","*","*","*","*","、","、","、"","1","97","42","99.0"
"、",""名詞","数","*","*","*","*","、","、","、"","1","97","43","99.0"
"それ",""名詞","代名詞","一般","*","*","*","それ","ソレ","ソレ"","2","97","44","99.0"
"でも",""助詞","副助詞","*","*","*","*","でも","デモ","デモ"","2","97","45","99.0"
"がんばっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","がんばる","ガンバッ","ガンバッ"","4","97","46","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","97","47","99.0"
"向かい",""動詞","自立","*","*","五段・ワ行促音便","連用形","向かう","ムカイ","ムカイ"","3","97","48","99.0"
"ます",""助動詞","*","*","*","特殊・マス","基本形","ます","マス","マス"","2","97","49","99.0"
"？","名詞","未知語","*","*","*","*","？","*","*","1","97","50","99.0"
"♪","名詞","未知語","*","*","*","*","♪","*","*","1","97","51","99.0"
"折角",""副詞","一般","*","*","*","*","折角","セッカク","セッカク"","2","98","1","99.0"
"手元",""名詞","一般","*","*","*","*","手元","テモト","テモト"","2","98","2","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","98","3","99.0"
"ド",""接頭詞","名詞接続","*","*","*","*","ド","ド","ド"","1","98","4","99.0"
"リ",""名詞","固有名詞","一般","*","*","*","リ","リ","リ"","1","98","5","99.0"
"クラ",""名詞","固有名詞","一般","*","*","*","クラ","クラ","クラ"","2","98","6","99.0"
"ＺＥＲＯ","名詞","未知語","*","*","*","*","ＺＥＲＯ","*","*","4","98","7","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","98","8","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","98","9","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","98","10","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","98","11","99.0"
"ある",""動詞","自立","*","*","五段・ラ行","基本形","ある","アル","アル"","2","98","12","99.0"
"と",""助詞","格助詞","引用","*","*","*","と","ト","ト"","1","98","13","99.0"
"いう",""動詞","自立","*","*","五段・ワ行促音便","基本形","いう","イウ","イウ"","2","98","14","99.0"
"のに",""助詞","接続助詞","*","*","*","*","のに","ノニ","ノニ"","2","98","15","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","98","16","99.0"
"２４","名詞","未知語","*","*","*","*","２４","*","*","2","98","17","99.0"
"時",""名詞","接尾","副詞可能","*","*","*","時","ジ","ジ"","1","98","18","99.0"
"閉店",""名詞","サ変接続","*","*","*","*","閉店","ヘイテン","ヘイテン"","2","98","19","99.0"
"だし",""名詞","一般","*","*","*","*","だし","ダシ","ダシ"","2","98","20","99.0"
"駅前",""名詞","一般","*","*","*","*","駅前","エキマエ","エキマエ"","2","98","21","99.0"
"まで",""助詞","副助詞","*","*","*","*","まで","マデ","マデ"","2","98","22","99.0"
"ダッシュ",""名詞","サ変接続","*","*","*","*","ダッシュ","ダッシュ","ダッシュ"","4","98","23","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","98","24","99.0"
"買っ",""動詞","自立","*","*","五段・ワ行促音便","連用タ接続","買う","カッ","カッ"","2","98","25","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","98","26","99.0"
"くる",""動詞","非自立","*","*","カ変・クル","基本形","くる","クル","クル"","2","98","27","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","98","28","99.0"
"これ",""名詞","代名詞","一般","*","*","*","これ","コレ","コレ"","2","98","29","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","98","30","99.0"
"ブロンプトン","名詞","未知語","*","*","*","*","ブロンプトン","*","*","6","99","1","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","99","2","99.0"
"初",""接頭詞","名詞接続","*","*","*","*","初","ハツ","ハツ"","1","99","3","99.0"
"パンク",""名詞","サ変接続","*","*","*","*","パンク","パンク","パンク"","3","99","4","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","99","5","99.0"
"しかも",""接続詞","*","*","*","*","*","しかも","シカモ","シカモ"","3","99","6","99.0"
"めん",""名詞","一般","*","*","*","*","めん","メン","メン"","2","99","7","99.0"
"どっち",""名詞","代名詞","一般","*","*","*","どっち","ドッチ","ドッチ"","3","99","8","99.0"
"い",""動詞","自立","*","*","一段","連用形","いる","イ","イ"","1","99","9","99.0"
"後",""名詞","接尾","副詞可能","*","*","*","後","ゴ","ゴ"","1","99","10","99.0"
"輪",""名詞","一般","*","*","*","*","輪","ワ","ワ"","1","99","11","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","99","12","99.0"
"工具",""名詞","一般","*","*","*","*","工具","コウグ","コーグ"","2","99","13","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","99","14","99.0"
"持っ",""動詞","自立","*","*","五段・タ行","連用タ接続","持つ","モッ","モッ"","2","99","15","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","99","16","99.0"
"い",""動詞","非自立","*","*","一段","連用形","いる","イ","イ"","1","99","17","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","99","18","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","99","19","99.0"
"予備",""名詞","一般","*","*","*","*","予備","ヨビ","ヨビ"","2","99","20","99.0"
"チューブ",""名詞","一般","*","*","*","*","チューブ","チューブ","チューブ"","4","99","21","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","99","22","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","99","23","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","99","24","99.0"
"家",""名詞","一般","*","*","*","*","家","イエ","イエ"","1","99","25","99.0"
"まで",""助詞","副助詞","*","*","*","*","まで","マデ","マデ"","2","99","26","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","99","27","99.0"
"残り",""名詞","一般","*","*","*","*","残り","ノコリ","ノコリ"","2","99","28","99.0"
"３．","名詞","未知語","*","*","*","*","３．","*","*","2","99","29","99.0"
"５ｋｍ","名詞","未知語","*","*","*","*","５ｋｍ","*","*","3","99","30","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","99","31","99.0"
"押し",""動詞","自立","*","*","五段・サ行","連用形","押す","オシ","オシ"","2","99","32","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","99","33","99.0"
"帰っ",""動詞","自立","*","*","五段・ラ行","連用タ接続","帰る","カエッ","カエッ"","2","99","34","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","99","35","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","99","36","99.0"
"チューブ",""名詞","一般","*","*","*","*","チューブ","チューブ","チューブ"","4","99","37","99.0"
"交換",""名詞","サ変接続","*","*","*","*","交換","コウカン","コーカン"","2","99","38","99.0"
"ついで",""名詞","一般","*","*","*","*","ついで","ツイデ","ツイデ"","3","99","39","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","99","40","99.0"
"タイヤ",""名詞","一般","*","*","*","*","タイヤ","タイヤ","タイヤ"","3","99","41","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","99","42","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","99","43","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","99","44","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","99","45","99.0"
"変え",""動詞","自立","*","*","一段","連用形","変える","カエ","カエ"","2","99","46","99.0"
"ちゃお",""動詞","非自立","*","*","五段・ワ行促音便","未然ウ接続","ちゃう","チャオ","チャオ"","3","99","47","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","99","48","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","99","49","99.0"
"き",""動詞","自立","*","*","カ変・クル","連用形","くる","キ","キ"","1","100","1","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","100","2","99.0"
"くっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","くる","クッ","クッ"","2","100","3","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","100","4","99.0"
"ー","名詞","未知語","*","*","*","*","ー","*","*","1","100","5","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","100","6","99.0"
"とりあえず",""副詞","助詞類接続","*","*","*","*","とりあえず","トリアエズ","トリアエズ"","5","100","7","99.0"
"洗濯",""名詞","サ変接続","*","*","*","*","洗濯","センタク","センタク"","2","100","8","99.0"
"機",""名詞","接尾","一般","*","*","*","機","キ","キ"","1","100","9","99.0"
"オン",""名詞","サ変接続","*","*","*","*","オン","オン","オン"","2","100","10","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","100","11","99.0"
"ながら",""助詞","接続助詞","*","*","*","*","ながら","ナガラ","ナガラ"","3","100","12","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","100","13","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","100","14","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","100","15","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","100","16","99.0"
"カレー",""名詞","一般","*","*","*","*","カレー","カレー","カレー"","3","100","17","99.0"
"ヌードル",""名詞","一般","*","*","*","*","ヌードル","ヌードル","ヌードル"","4","100","18","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","100","19","99.0"
"夕飯",""名詞","一般","*","*","*","*","夕飯","ユウハン","ユーハン"","2","100","20","99.0"
"なう",""動詞","自立","*","*","五段・ワ行促音便","基本形","なう","ナウ","ナウ"","2","100","21","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","100","22","99.0"
"残り少ない",""形容詞","自立","*","*","形容詞・アウオ段","基本形","残り少ない","ノコリスクナイ","ノコリスクナイ"","5","100","23","99.0"
"本日",""名詞","副詞可能","*","*","*","*","本日","ホンジツ","ホンジツ"","2","100","24","99.0"
"分",""名詞","接尾","一般","*","*","*","分","ブン","ブン"","1","100","25","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","100","26","99.0"
"バッテリ",""名詞","一般","*","*","*","*","バッテリ","バッテリ","バッテリ"","4","100","27","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","100","28","99.0"
"洗濯",""名詞","サ変接続","*","*","*","*","洗濯","センタク","センタク"","2","100","29","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","100","30","99.0"
"回す",""動詞","自立","*","*","五段・サ行","基本形","回す","マワス","マワス"","2","100","31","99.0"
"ｗ","名詞","未知語","*","*","*","*","ｗ","*","*","1","100","32","99.0"
"もし",""副詞","一般","*","*","*","*","もし","モシ","モシ"","2","101","1","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","101","2","99.0"
"２","名詞","未知語","*","*","*","*","２","*","*","1","101","3","99.0"
"ちゃん",""名詞","接尾","人名","*","*","*","ちゃん","チャン","チャン"","3","101","4","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","101","5","99.0"
"スレ","名詞","未知語","*","*","*","*","スレ","*","*","2","101","6","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","101","7","99.0"
"来",""動詞","自立","*","*","カ変・来ル","連用形","来る","キ","キ"","1","101","8","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","101","9","99.0"
"見",""動詞","自立","*","*","一段","連用形","見る","ミ","ミ"","1","101","10","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","101","11","99.0"
"人",""名詞","一般","*","*","*","*","人","ヒト","ヒト"","1","101","12","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","101","13","99.0"
"い",""動詞","自立","*","*","一段","連用形","いる","イ","イ"","1","101","14","99.0"
"たら",""助動詞","*","*","*","特殊・タ","仮定形","た","タラ","タラ"","2","101","15","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","101","16","99.0"
"私",""名詞","代名詞","一般","*","*","*","私","ワタシ","ワタシ"","1","101","17","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","101","18","99.0"
"嵐",""名詞","一般","*","*","*","*","嵐","アラシ","アラシ"","1","101","19","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","101","20","99.0"
"メンバー",""名詞","一般","*","*","*","*","メンバー","メンバー","メンバー"","4","101","21","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","101","22","99.0"
"翔",""名詞","固有名詞","人名","名","*","*","翔","ショウ","ショー"","1","101","23","99.0"
"くん",""名詞","接尾","人名","*","*","*","くん","クン","クン"","2","101","24","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","101","25","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","101","26","99.0"
"もちろん",""副詞","一般","*","*","*","*","もちろん","モチロン","モチロン"","4","101","27","99.0"
"悪口",""名詞","一般","*","*","*","*","悪口","ワルグチ","ワルグチ"","2","101","28","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","101","29","99.0"
"言っ",""動詞","自立","*","*","五段・ワ行促音便","連用タ接続","言う","イッ","イッ"","2","101","30","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","101","31","99.0"
"つもり",""名詞","非自立","一般","*","*","*","つもり","ツモリ","ツモリ"","3","101","32","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","101","33","99.0"
"あり",""動詞","自立","*","*","五段・ラ行","連用形","ある","アリ","アリ"","2","101","34","99.0"
"ませ",""助動詞","*","*","*","特殊・マス","未然形","ます","マセ","マセ"","2","101","35","99.0"
"ん",""助動詞","*","*","*","不変化型","基本形","ん","ン","ン"","1","101","36","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","101","37","99.0"
"私",""名詞","代名詞","一般","*","*","*","私","ワタシ","ワタシ"","1","101","38","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","101","39","99.0"
"あの",""連体詞","*","*","*","*","*","あの","アノ","アノ"","2","101","40","99.0"
"文章",""名詞","一般","*","*","*","*","文章","ブンショウ","ブンショー"","2","101","41","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","101","42","99.0"
"書い",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","書く","カイ","カイ"","2","101","43","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","101","44","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","101","45","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","101","46","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","101","47","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","101","48","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","101","49","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","101","50","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","101","51","99.0"
"について",""助詞","格助詞","連語","*","*","*","について","ニツイテ","ニツイテ"","4","101","52","99.0"
"苦情",""名詞","一般","*","*","*","*","苦情","クジョウ","クジョー"","2","101","53","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","101","54","99.0"
"電話",""名詞","サ変接続","*","*","*","*","電話","デンワ","デンワ"","2","101","55","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","101","56","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","101","57","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","101","58","99.0"
"方",""名詞","非自立","一般","*","*","*","方","ホウ","ホー"","1","101","59","99.0"
"や",""助詞","並立助詞","*","*","*","*","や","ヤ","ヤ"","1","101","60","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","101","61","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","101","62","99.0"
"行き",""動詞","自立","*","*","五段・カ行促音便","連用形","行く","イキ","イキ"","2","101","63","99.0"
"すぎ",""動詞","非自立","*","*","一段","連用形","すぎる","スギ","スギ"","2","101","64","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","101","65","99.0"
"行為",""名詞","サ変接続","*","*","*","*","行為","コウイ","コーイ"","2","101","66","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","101","67","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","101","68","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","101","69","99.0"
"しまう",""動詞","非自立","*","*","五段・ワ行促音便","基本形","しまう","シマウ","シマウ"","3","101","70","99.0"
"嵐",""名詞","一般","*","*","*","*","嵐","アラシ","アラシ"","1","101","71","99.0"
"ファン",""名詞","一般","*","*","*","*","ファン","ファン","ファン"","3","101","72","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","101","73","99.0"
"いる",""動詞","自立","*","*","一段","基本形","いる","イル","イル"","2","101","74","99.0"
"こと",""名詞","非自立","一般","*","*","*","こと","コト","コト"","2","101","75","99.0"
"について",""助詞","格助詞","連語","*","*","*","について","ニツイテ","ニツイテ"","4","101","76","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","101","77","99.0"
"意見",""名詞","サ変接続","*","*","*","*","意見","イケン","イケン"","2","101","78","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","101","79","99.0"
"述べ",""動詞","自立","*","*","一段","連用形","述べる","ノベ","ノベ"","2","101","80","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","101","81","99.0"
"だけ",""助詞","副助詞","*","*","*","*","だけ","ダケ","ダケ"","2","101","82","99.0"
"です",""助動詞","*","*","*","特殊・デス","基本形","です","デス","デス"","2","101","83","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","101","84","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","101","85","99.0"
"＠ｍａｈｏｃｈｉｐｓ","名詞","未知語","*","*","*","*","＠ｍａｈｏｃｈｉｐｓ","*","*","10","102","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","102","2","99.0"
"うち",""名詞","一般","*","*","*","*","うち","ウチ","ウチ"","2","102","3","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","102","4","99.0"
"長い",""形容詞","自立","*","*","形容詞・アウオ段","基本形","長い","ナガイ","ナガイ"","2","102","5","99.0"
"こと",""名詞","非自立","一般","*","*","*","こと","コト","コト"","2","102","6","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","102","7","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","102","8","99.0"
"やっ",""助動詞","*","*","*","特殊・ヤ","連用形","や","ヤッ","ヤッ"","2","102","9","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","102","10","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","102","11","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","102","12","99.0"
"今",""名詞","副詞可能","*","*","*","*","今","イマ","イマ"","1","102","13","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","102","14","99.0"
"ついに",""副詞","一般","*","*","*","*","ついに","ツイニ","ツイニ"","3","102","15","99.0"
"金",""名詞","一般","*","*","*","*","金","キン","キン"","1","102","16","99.0"
"麦",""名詞","一般","*","*","*","*","麦","ムギ","ムギ"","1","102","17","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","102","18","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","103","1","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","103","2","99.0"
"？","名詞","未知語","*","*","*","*","？","*","*","1","103","3","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","103","4","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","103","5","99.0"
"ち",""動詞","自立","*","*","五段・ラ行","体言接続特殊2","ちる","チ","チ"","1","103","6","99.0"
"ょ","名詞","未知語","*","*","*","*","ょ","*","*","1","103","7","99.0"
"ー","名詞","未知語","*","*","*","*","ー","*","*","1","103","8","99.0"
"好き",""名詞","接尾","形容動詞語幹","*","*","*","好き","スキ","スキ"","2","103","9","99.0"
"（＾","名詞","未知語","*","*","*","*","（＾","*","*","2","103","10","99.0"
"ω",""記号","アルファベット","*","*","*","*","ω","オメガ","オメガ"","1","103","11","99.0"
"＾）","名詞","未知語","*","*","*","*","＾）","*","*","2","103","12","99.0"
"相",""名詞","接尾","一般","*","*","*","相","ショウ","ショー"","1","103","13","99.0"
"葉",""名詞","一般","*","*","*","*","葉","ハ","ハ"","1","103","14","99.0"
"ちゃん",""名詞","接尾","人名","*","*","*","ちゃん","チャン","チャン"","3","103","15","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","103","16","99.0"
"「",""記号","括弧開","*","*","*","*","「","「","「"","1","103","17","99.0"
"待っ",""動詞","自立","*","*","五段・タ行","連用タ接続","待つ","マッ","マッ"","2","103","18","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","103","19","99.0"
"？","名詞","未知語","*","*","*","*","？","*","*","1","103","20","99.0"
"」",""記号","括弧閉","*","*","*","*","」","」","」"","1","103","21","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","103","22","99.0"
"好き",""名詞","形容動詞語幹","*","*","*","*","好き","スキ","スキ"","2","103","23","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","103","24","99.0"
"バーテンダー","名詞","未知語","*","*","*","*","バーテンダー","*","*","6","103","25","99.0"
"見よ",""動詞","自立","*","*","一段","未然ウ接続","見る","ミヨ","ミヨ"","2","103","26","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","103","27","99.0"
"（＾","名詞","未知語","*","*","*","*","（＾","*","*","2","103","28","99.0"
"ω",""記号","アルファベット","*","*","*","*","ω","オメガ","オメガ"","1","103","29","99.0"
"＾）","名詞","未知語","*","*","*","*","＾）","*","*","2","103","30","99.0"
"安売り",""名詞","サ変接続","*","*","*","*","安売り","ヤスウリ","ヤスウリ"","3","104","1","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","104","2","99.0"
"て",""動詞","非自立","*","*","一段","連用形","てる","テ","テ"","1","104","3","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","104","4","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","104","5","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","104","6","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","104","7","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","104","8","99.0"
"すっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","する","スッ","スッ"","2","104","9","99.0"
"げ",""名詞","接尾","一般","*","*","*","げ","ゲ","ゲ"","1","104","10","99.0"
"ぇ","名詞","未知語","*","*","*","*","ぇ","*","*","1","104","11","99.0"
"飲み",""動詞","自立","*","*","五段・マ行","連用形","飲む","ノミ","ノミ"","2","104","12","99.0"
"やすい",""形容詞","自立","*","*","形容詞・アウオ段","基本形","やすい","ヤスイ","ヤスイ"","3","104","13","99.0"
